brand,model,color,line,productGroup,baseTitle
"Supsiah",,"Red",,,"Supsiah Charcoal Grill with Portable Suitcase, Portable Charcoal Grill with 2 Cooking Mesh, Space Saver BBQ Grill Perfect for Picnic, Camping, Outdoor"
"Moclever",,"Black",,,
"Imperial Home","ROY-BB22","Black and Red",,,
"Masterbuilt","MB20251719","30"" Pellet Smoker",,,"Masterbuilt MWS Pellet Smoker"
"EZGRILL",,,,,"New Improved Disposable Grill by EZ Small Size-Charcoal BBQ Ideal for Camping and Tailgate Parties Portable Easy to Light Convenient-Grill Anytime Anywhere Lasts 1.5 Hours"
"George Foreman","GFO240GM","Gun Metal",,,
"Grilla Grills",,"Black & Silver",,,
"Firsgrill",,,,,
"Z GRILLS","ZPG-7002B","ZPG-7002B",,,"Z GRILLS Wood Pellet Grill"
"NJTFHU","OT001","Silver",,,
"Bull Outdoor Products","44000","Metallic",,,"Bull Outdoor Products BBQ Angus 75 000 BTU Grill with Cart"
"Monument Grills",,,,,
"Bull Outdoor Products","47628","Metallic",,,"Bull Outdoor Products BBQ Angus 75 000 BTU Grill Head"
"ZHOUWHJJ",,,,,
"Char-Broil","463371719","Stainless Steel",,,
"Z GRILLS",,"Grill+smart probe",,,"Z GRILLS Wood Pellet Grill Smoker for Outdoor Cooking Upgrade 8-in-1 Pid Controller"
"Weber","15401001","Black",,,
"Coofel",,,,,
"PiscatorZone",,,,,
"Kona",,"Premium Blend",,,"Kona Smoker Grilling Pound"
"Sensko",,,,,"Electric Smoker"
"SIBAO",,,,,
"Weber","61001001","Stainless Steel",,,"Weber II Grill"
"Dyna-Glo",,,,,"Dyna-Glo DGN576SNC-D Dual Zone Premium Charcoal Grill"
"PIT BOSS","PB757GD","Black",,,
"Napoleon","BIP500RBPSS-3","Stainless Steel",,,"Napoleon Built-in Prestige 500 RB Gas Grill Head sq.in. Infrared and Rear Burners Stainless Steel"
"VENYN",,,,,
"Char-Broil","17202005","Silver",,,"Char-Broil Digital Electric Smoker 1000"
"CREATIVECHEF","SG16B","Black",,,"CREATIVECHEF Portable Smoker,Handheld Cold Smoke Infuser,Cocktail Drink Smoker,Food Smoker, Enhance Taste for Food,Drink,Steak, Cheeses.Smoking Sous Vide Foodie Accessories Gift,"
"Cibicon",,,,,"Under the Electric Smoker Mat"
