brand,model,color,line,productGroup,baseTitle
"Disney","CV401FXF","Let's Go Mickey!",,,"Disney Mouse Teeny Ultra Compact Stroller"
"Baby Jogger","1962974","MB Double",,,
"Baby Trend","TJ75B44B","Sprint",,,
"Mountain Buggy","NANODUO_V1_6","Silver",,,"Mountain Buggy Nano Duo"
"Baby Joy","BB5626","Gray",,,"BABY JOY Stroller 2 in 1 Aluminum Carriage w Reversible Seat Cup Holder 5-Point Harness Adjustable Handle Canopy Backrest Large Storage Basket One-Step Folding for Infant"
"Joovy","8089","Charcoal",,,"JOOVY Twin Groove Ultralight Umbrella Stroller"
"Baby Jogger",,,,,
"Delta Children","13198-2010","Dusk Black",,,
"Bugaboo","500127BY01","Bright Yellow",,,"Bugaboo Bee3 Sun Canopy"
"Baby Trend","JG75B47A","Jolt Red",,,
"INFANS",,"Grey",,,"INFANS Lightweight Baby Folding Stroller with Safe Five-Point Harness Adjustable Backrest Footrest Storage Basket Cup Holder for 0-3 Year"
"BOB Gear","U981948","Glacier Blue",,,"BOB Revolution Flex 3.0 Duallie Jogging Stroller"
"phil&teds","Go_V1_22","Apple",,,"phil teds Go Umbrella Travel Stroller Ultra Light 11lbs Compact One Hand Stand Fold Removable Bumper Bar and Reversible Seat Liner System Ready Full Suspension"
"BRITAX","U741901","Frost",,,
"Bumbleride","MB-55",,,,
"Chicco","04079682330070","Springhill",,,
"Baby Trend","BT04D40A","Black",,,
"Dreambaby","L274","White",,,
